Gene_name	Disease	phenotype	Stratify	Transform
GATA4	Neonatal Diabetes	ldl_mgdl	NA	NA
GATA6	MonogenicDM_all	t2d_with_pre	NA	NA
GATA6	Neonatal Diabetes	t2d_with_pre	NA	NA
GATA6	MonogenicDM_all	bmi	NA	ln
GATA6	Neonatal Diabetes	bmi	NA	ln
GATA6	MonogenicDM_all	tg_mgdl	NA	ln
GATA6	Neonatal Diabetes	tg_mgdl	NA	ln
GATA6	MonogenicDM_all	hdl_mgdl	NA	ln
GATA6	Neonatal Diabetes	hdl_mgdl	NA	ln
GATA6	MonogenicDM_all	ldl_mgdl	NA	NA
GATA6	Neonatal Diabetes	ldl_mgdl	NA	NA
GCK	MODY	bmi	NA	ln
GCK	MODY	hdl_mgdl	NA	ln
GCK	MODY	tg_mgdl	NA	ln
GCK	MODY	ldl_mgdl	NA	NA
GCK	MODY	t2d_with_pre	NA	NA
GCK	MODY Extended	bmi	NA	ln
GCK	MODY Extended	ldl_mgdl	NA	NA
GCK	MODY Extended	hdl_mgdl	NA	ln
GCK	MODY Extended	tg_mgdl	NA	ln
GCK	MODY Extended	t2d_with_pre	NA	NA
GCK	MonogenicDM_all	t2d_with_pre	NA	NA
GCK	MonogenicDM_all	bmi	NA	ln
GCK	MonogenicDM_all	tg_mgdl	NA	ln
GCK	MonogenicDM_all	hdl_mgdl	NA	ln
GCK	MonogenicDM_all	ldl_mgdl	NA	NA
HNF1A	MODY	bmi	NA	ln
HNF1A	MODY	hdl_mgdl	NA	ln
HNF1A	MODY	tg_mgdl	NA	ln
HNF1A	MODY	ldl_mgdl	NA	NA
HNF1A	MODY	t2d_with_pre	NA	NA
HNF1A	MODY Extended	bmi	NA	ln
HNF1A	MODY Extended	ldl_mgdl	NA	NA
HNF1A	MODY Extended	hdl_mgdl	NA	ln
HNF1A	MODY Extended	tg_mgdl	NA	ln
HNF1A	MODY Extended	t2d_with_pre	NA	NA
HNF1A	MonogenicDM_all	t2d_with_pre	NA	NA
HNF1A	MonogenicDM_all	bmi	NA	ln
HNF1A	MonogenicDM_all	tg_mgdl	NA	ln
HNF1A	MonogenicDM_all	hdl_mgdl	NA	ln
HNF1A	MonogenicDM_all	ldl_mgdl	NA	NA
HNF1B	MODY	bmi	NA	ln
HNF1B	MODY	hdl_mgdl	NA	ln
HNF1B	MODY	tg_mgdl	NA	ln
HNF1B	MODY	ldl_mgdl	NA	NA
HNF1B	MODY	t2d_with_pre	NA	NA
HNF1B	MODY Extended	bmi	NA	ln
HNF1B	MODY Extended	ldl_mgdl	NA	NA
HNF1B	MODY Extended	hdl_mgdl	NA	ln
HNF1B	MODY Extended	tg_mgdl	NA	ln
HNF1B	MODY Extended	t2d_with_pre	NA	NA
HNF1B	MonogenicDM_all	t2d_with_pre	NA	NA
HNF1B	Neonatal Diabetes	t2d_with_pre	NA	NA
HNF1B	MonogenicDM_all	bmi	NA	ln
HNF1B	Neonatal Diabetes	bmi	NA	ln
HNF1B	MonogenicDM_all	tg_mgdl	NA	ln
HNF1B	Neonatal Diabetes	tg_mgdl	NA	ln
HNF1B	MonogenicDM_all	hdl_mgdl	NA	ln
HNF1B	Neonatal Diabetes	hdl_mgdl	NA	ln
HNF1B	MonogenicDM_all	ldl_mgdl	NA	NA
HNF1B	Neonatal Diabetes	ldl_mgdl	NA	NA
HNF4A	MODY	bmi	NA	ln
HNF4A	MODY	hdl_mgdl	NA	ln
HNF4A	MODY	tg_mgdl	NA	ln
HNF4A	MODY	ldl_mgdl	NA	NA
HNF4A	MODY	t2d_with_pre	NA	NA
HNF4A	MODY Extended	bmi	NA	ln
HNF4A	MODY Extended	ldl_mgdl	NA	NA
HNF4A	MODY Extended	hdl_mgdl	NA	ln
HNF4A	MODY Extended	tg_mgdl	NA	ln
HNF4A	MODY Extended	t2d_with_pre	NA	NA
HNF4A	MonogenicDM_all	t2d_with_pre	NA	NA
HNF4A	MonogenicDM_all	bmi	NA	ln
HNF4A	MonogenicDM_all	tg_mgdl	NA	ln
HNF4A	MonogenicDM_all	hdl_mgdl	NA	ln
HNF4A	MonogenicDM_all	ldl_mgdl	NA	NA
INS	MODY Extended	bmi	NA	ln
INS	MODY Extended	ldl_mgdl	NA	NA
INS	MODY Extended	hdl_mgdl	NA	ln
INS	MODY Extended	tg_mgdl	NA	ln
INS	MODY Extended	t2d_with_pre	NA	NA
INS	MonogenicDM_all	t2d_with_pre	NA	NA
INS	Neonatal Diabetes	t2d_with_pre	NA	NA
INS	MonogenicDM_all	bmi	NA	ln
INS	Neonatal Diabetes	bmi	NA	ln
INS	MonogenicDM_all	tg_mgdl	NA	ln
INS	Neonatal Diabetes	tg_mgdl	NA	ln
INS	MonogenicDM_all	hdl_mgdl	NA	ln
INS	Neonatal Diabetes	hdl_mgdl	NA	ln
INS	MonogenicDM_all	ldl_mgdl	NA	NA
INS	Neonatal Diabetes	ldl_mgdl	NA	NA
KCNJ11	MODY Extended	bmi	NA	ln
KCNJ11	MODY Extended	ldl_mgdl	NA	NA
KCNJ11	MODY Extended	hdl_mgdl	NA	ln
KCNJ11	MODY Extended	tg_mgdl	NA	ln
KCNJ11	MODY Extended	t2d_with_pre	NA	NA
KCNJ11	MonogenicDM_all	t2d_with_pre	NA	NA
KCNJ11	Neonatal Diabetes	t2d_with_pre	NA	NA
KCNJ11	MonogenicDM_all	bmi	NA	ln
KCNJ11	Neonatal Diabetes	bmi	NA	ln
KCNJ11	MonogenicDM_all	tg_mgdl	NA	ln
KCNJ11	Neonatal Diabetes	tg_mgdl	NA	ln
KCNJ11	MonogenicDM_all	hdl_mgdl	NA	ln
KCNJ11	Neonatal Diabetes	hdl_mgdl	NA	ln
KCNJ11	MonogenicDM_all	ldl_mgdl	NA	NA
KCNJ11	Neonatal Diabetes	ldl_mgdl	NA	NA
KLF11	MODY Extended	bmi	NA	ln
KLF11	MODY Extended	ldl_mgdl	NA	NA
KLF11	MODY Extended	hdl_mgdl	NA	ln
KLF11	MODY Extended	tg_mgdl	NA	ln
KLF11	MODY Extended	t2d_with_pre	NA	NA
KLF11	MonogenicDM_all	t2d_with_pre	NA	NA
KLF11	MonogenicDM_all	bmi	NA	ln
KLF11	MonogenicDM_all	tg_mgdl	NA	ln
KLF11	MonogenicDM_all	hdl_mgdl	NA	ln
KLF11	MonogenicDM_all	ldl_mgdl	NA	NA
LDLR	High LDL	ldl_mgdl	NA	NA
LMNA	Lipodystrophy	t2d_with_pre	NA	NA
LMNA	Lipodystrophy	bmi	NA	ln
LMNA	Lipodystrophy	tg_mgdl	NA	ln
LMNA	Lipodystrophy	hdl_mgdl	NA	ln
LMNA	Lipodystrophy	ldl_mgdl	NA	NA
LMNA	MonogenicDM_all	t2d_with_pre	NA	NA
LMNA	MonogenicDM_all	bmi	NA	ln
LMNA	MonogenicDM_all	tg_mgdl	NA	ln
LMNA	MonogenicDM_all	hdl_mgdl	NA	ln
LMNA	MonogenicDM_all	ldl_mgdl	NA	NA
LPL	High triglycerides	tg_mgdl	NA	ln
MC4R	Obesity	bmi	NA	ln
NEUROD1	MODY Extended	bmi	NA	ln
NEUROD1	MODY Extended	ldl_mgdl	NA	NA
NEUROD1	MODY Extended	hdl_mgdl	NA	ln
NEUROD1	MODY Extended	tg_mgdl	NA	ln
NEUROD1	MODY Extended	t2d_with_pre	NA	NA
NEUROD1	MonogenicDM_all	t2d_with_pre	NA	NA
NEUROD1	MonogenicDM_all	bmi	NA	ln
NEUROD1	MonogenicDM_all	tg_mgdl	NA	ln
NEUROD1	MonogenicDM_all	hdl_mgdl	NA	ln
NEUROD1	MonogenicDM_all	ldl_mgdl	NA	NA
PCSK9	High LDL	ldl_mgdl	NA	NA
PCSK9	Low LDL	ldl_mgdl	NA	NA
PDX1	MODY	bmi	NA	ln
PDX1	MODY	hdl_mgdl	NA	ln
PDX1	MODY	tg_mgdl	NA	ln
PDX1	MODY	ldl_mgdl	NA	NA
PDX1	MODY	t2d_with_pre	NA	NA
PDX1	MODY Extended	bmi	NA	ln
PDX1	MODY Extended	ldl_mgdl	NA	NA
PDX1	MODY Extended	hdl_mgdl	NA	ln
PDX1	MODY Extended	tg_mgdl	NA	ln
PDX1	MODY Extended	t2d_with_pre	NA	NA
PDX1	MonogenicDM_all	t2d_with_pre	NA	NA
PDX1	MonogenicDM_all	bmi	NA	ln
PDX1	MonogenicDM_all	tg_mgdl	NA	ln
PDX1	MonogenicDM_all	hdl_mgdl	NA	ln
PDX1	MonogenicDM_all	ldl_mgdl	NA	NA
PLIN1	Lipodystrophy	t2d_with_pre	NA	NA
PLIN1	Lipodystrophy	bmi	NA	ln
PLIN1	Lipodystrophy	tg_mgdl	NA	ln
PLIN1	Lipodystrophy	hdl_mgdl	NA	ln
PLIN1	Lipodystrophy	ldl_mgdl	NA	NA
PLIN1	MonogenicDM_all	t2d_with_pre	NA	NA
PLIN1	MonogenicDM_all	bmi	NA	ln
PLIN1	MonogenicDM_all	tg_mgdl	NA	ln
PLIN1	MonogenicDM_all	hdl_mgdl	NA	ln
PLIN1	MonogenicDM_all	ldl_mgdl	NA	NA
PPARG	Lipodystrophy	t2d_with_pre	NA	NA
PPARG	Lipodystrophy	bmi	NA	ln
PPARG	Lipodystrophy	tg_mgdl	NA	ln
PPARG	Lipodystrophy	hdl_mgdl	NA	ln
PPARG	Lipodystrophy	ldl_mgdl	NA	NA
PPARG	MonogenicDM_all	t2d_with_pre	NA	NA
PPARG	MonogenicDM_all	bmi	NA	ln
PPARG	MonogenicDM_all	tg_mgdl	NA	ln
PPARG	MonogenicDM_all	hdl_mgdl	NA	ln
PPARG	MonogenicDM_all	ldl_mgdl	NA	NA
